OMIM	efo_uri	efo_label
145650	http://www.orpha.net/ORDO/Orphanet_165994	Selective pituitary resistance to thyroid hormone
103050	http://www.orpha.net/ORDO/Orphanet_46	Adenylosuccinate lyase deficiency
609796	http://www.orpha.net/ORDO/Orphanet_263534	Acral peeling skin syndrome
256520	http://www.orpha.net/ORDO/Orphanet_2671	Neu-Laxova syndrome
616038	http://www.orpha.net/ORDO/Orphanet_2671	Neu-Laxova syndrome
300220	http://www.orpha.net/ORDO/Orphanet_85295	HSD10 disease, atypical type
604324	http://www.ebi.ac.uk/efo/EFO_0003894	acne
112500	http://www.orpha.net/ORDO/Orphanet_93388	Brachydactyly type A1
607004	http://www.orpha.net/ORDO/Orphanet_93388	Brachydactyly type A1
615072	http://www.orpha.net/ORDO/Orphanet_93388	Brachydactyly type A1
616849	http://www.orpha.net/ORDO/Orphanet_93388	Brachydactyly type A1
617527	http://purl.obolibrary.org/obo/MONDO_0060502	neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies
608029	http://www.orpha.net/ORDO/Orphanet_284332	Infantile-onset autosomal recessive nonprogressive cerebellar ataxia
617584	http://www.orpha.net/ORDO/Orphanet_284332	Infantile-onset autosomal recessive nonprogressive cerebellar ataxia
611773	http://www.orpha.net/ORDO/Orphanet_73229	Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures
190320	http://www.orpha.net/ORDO/Orphanet_3352	Tricho-dento-osseous syndrome
609814	http://www.orpha.net/ORDO/Orphanet_93571	Dense deposit disease
309500	http://www.orpha.net/ORDO/Orphanet_3242	Renpenning syndrome
250951	http://www.orpha.net/ORDO/Orphanet_67048	3-methylglutaconic aciduria type 4
302905	http://www.orpha.net/ORDO/Orphanet_921	Abruzzo-Erickson syndrome
251880	http://www.orpha.net/ORDO/Orphanet_279934	Mitochondrial DNA depletion syndrome, hepatocerebral form due to DGUOK deficiency
616708	http://www.orpha.net/ORDO/Orphanet_284169	10p11.21p12.31 microdeletion syndrome
300807	http://purl.obolibrary.org/obo/MONDO_0010432	thrombophilia, X-linked, due to factor 9 defect
167400	http://www.orpha.net/ORDO/Orphanet_46348	Paroxysmal extreme pain disorder
607174	http://www.orpha.net/ORDO/Orphanet_2495	Meningioma
606190	http://www.orpha.net/ORDO/Orphanet_2495	Meningioma
605115	http://www.orpha.net/ORDO/Orphanet_88660	Pseudohyperaldosteronism type 2
617320	http://www.orpha.net/ORDO/Orphanet_281097	Autosomal recessive congenital ichthyosis
271150	http://www.orpha.net/ORDO/Orphanet_83420	Proximal spinal muscular atrophy type 4
236110	http://www.orpha.net/ORDO/Orphanet_2167	Holzgreve-Wagner-Rehder syndrome
607634	http://www.orpha.net/ORDO/Orphanet_2783	Autosomal dominant osteopetrosis type 1
208050	http://www.orpha.net/ORDO/Orphanet_3342	Arterial tortuosity syndrome
609128	http://www.orpha.net/ORDO/Orphanet_65720	Arthrogryposis - severe scoliosis
617146	http://www.orpha.net/ORDO/Orphanet_97120	Distal arthrogryposis
108120	http://www.orpha.net/ORDO/Orphanet_97120	Distal arthrogryposis
618435	http://www.orpha.net/ORDO/Orphanet_97120	Distal arthrogryposis
618436	http://www.orpha.net/ORDO/Orphanet_97120	Distal arthrogryposis
603596	http://www.orpha.net/ORDO/Orphanet_2913	Polydactyly
219000	http://www.orpha.net/ORDO/Orphanet_2052	Fraser syndrome
617666	http://www.orpha.net/ORDO/Orphanet_2052	Fraser syndrome
617667	http://www.orpha.net/ORDO/Orphanet_2052	Fraser syndrome
611762	http://www.orpha.net/ORDO/Orphanet_247868	NLRP12-associated hereditary periodic fever syndrome
253260	http://www.orpha.net/ORDO/Orphanet_79241	Biotinidase deficiency
253300	http://purl.obolibrary.org/obo/MONDO_0009669	Werdnig-Hoffmann disease
611820	http://purl.obolibrary.org/obo/MONDO_0012738	long QT syndrome 11
605039	http://www.orpha.net/ORDO/Orphanet_97297	Bohring-Opitz syndrome
200970	http://www.orpha.net/ORDO/Orphanet_2561	Ackerman syndrome
301030	http://www.orpha.net/ORDO/Orphanet_163976	X-linked intellectual disability, Van Esch type
608540	http://www.orpha.net/ORDO/Orphanet_79327	ALG1-CDG
166750	http://www.orpha.net/ORDO/Orphanet_99806	Oculootodental syndrome
610460	http://www.orpha.net/ORDO/Orphanet_3315	Thiopurine S-methyltransferase deficiency
305100	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia
300291	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia
614941	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia
224900	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia
614940	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia
612132	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia
129490	http://www.orpha.net/ORDO/Orphanet_238468	Hypohidrotic ectodermal dysplasia
612782	http://www.orpha.net/ORDO/Orphanet_317428	Combined immunodeficiency due to ORAI1 deficiency
